Date,Daily Mean Travel Time (Seconds),AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
09/17/2019,1781,,,,,
09/18/2019,1929,,,,,
09/19/2019,1614,,2294,,,
09/20/2019,1488,,,,,
09/21/2019,998,,,,,
09/22/2019,1219,,,,,
09/23/2019,1442,,,,,
09/24/2019,1893,,,,,
09/25/2019,1853,,2421,,,
09/26/2019,1869,,,,,
09/27/2019,1611,,,,,
09/28/2019,1120,,,,1129,
09/29/2019,1028,,,,,1015
09/30/2019,,,,,,
10/01/2019,1673,,,,,
10/02/2019,2101,,,,,
10/03/2019,1500,,,,,
10/04/2019,1604,,,,,
10/05/2019,,,,,,
10/06/2019,1151,,,,,965
10/07/2019,1635,,,,,
10/08/2019,1676,,,,,
10/09/2019,,,,,,
10/10/2019,,,,,,
10/11/2019,1654,,1713,,,
10/12/2019,1282,,,,,
10/13/2019,1680,,,,,
10/14/2019,1371,,,,1417,
10/15/2019,1605,,,,,
10/16/2019,1476,,,,,
10/17/2019,1828,,,,,
10/18/2019,1353,,,,,
10/19/2019,1149,,,,1268,
10/20/2019,1231,,,,1104,
10/21/2019,1342,,,,,
10/22/2019,1781,,2249,,1251,
10/23/2019,1841,,2171,,,
10/24/2019,1479,,,,1289,
10/25/2019,1385,,,,1111,
10/26/2019,1496,,,,2065,
10/27/2019,1274,,,,,
10/28/2019,1579,,,,,
10/29/2019,1469,,,,,
10/30/2019,1488,,,,,
10/31/2019,2044,,2121,,,
08/01/2019,1678,,,,,
08/02/2019,1641,,2001,1664,,
08/03/2019,1522,,,,2237,
08/04/2019,1094,,,,,1037
08/05/2019,1616,,,,,
08/06/2019,,,,,,
08/07/2019,1127,,,,,
08/08/2019,,,,,,
08/09/2019,1950,,,,,
08/10/2019,1319,,,,,
08/11/2019,1449,,,,,
08/12/2019,1731,,1717,,,
08/13/2019,1642,,,,,
08/14/2019,1754,,1918,,1481,
08/15/2019,1384,,,,,
08/16/2019,1340,,,,,
08/17/2019,1245,,,,1110,
08/18/2019,1154,,,,,1091
08/19/2019,1676,,2269,1438,,
08/20/2019,1650,,,,,
08/21/2019,,,,,,
08/22/2019,1820,,2151,,,
08/23/2019,1432,,,,,
08/24/2019,1680,,,,,
08/25/2019,1194,,,,,
08/26/2019,1441,,,,,
08/27/2019,1870,,,,,
08/28/2019,1850,,1974,,,
08/29/2019,1771,,,,,
08/30/2019,1671,,,,,
08/31/2019,1242,,,,,
09/01/2019,1377,,,,,
09/02/2019,,,,,,
09/03/2019,,,,,,
09/04/2019,,,,,,
09/05/2019,2090,,2281,,,
09/06/2019,1396,,,,,
09/07/2019,1319,,,,,
09/08/2019,1144,,,,,
09/09/2019,1506,,,,,
09/10/2019,,,,,,
09/11/2019,1752,,,1415,,
09/12/2019,2101,,1917,,,
09/13/2019,1679,,2182,,,
09/14/2019,1273,,,,1370,
09/15/2019,1510,,,,,
09/16/2019,1558,,1581,,,
