"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","1","Census Tract 480302","1/9/2019 - 30/11/2019, Every day, Daily Average",1537,1081,2184
"1229","Census Tract 207302","2","Census Tract 480303","1/9/2019 - 30/11/2019, Every day, Daily Average",1300,921,1834
"1229","Census Tract 207302","3","Census Tract 480304","1/9/2019 - 30/11/2019, Every day, Daily Average",1302,911,1860
"1229","Census Tract 207302","4","Census Tract 480400","1/9/2019 - 30/11/2019, Every day, Daily Average",1469,1059,2037
"1229","Census Tract 207302","6","Census Tract 480704","1/9/2019 - 30/11/2019, Every day, Daily Average",1319,931,1868
"1229","Census Tract 207302","7","Census Tract 480802","1/9/2019 - 30/11/2019, Every day, Daily Average",1096,751,1599
"1229","Census Tract 207302","8","Census Tract 480803","1/9/2019 - 30/11/2019, Every day, Daily Average",1262,895,1778
"1229","Census Tract 207302","9","Census Tract 480804","1/9/2019 - 30/11/2019, Every day, Daily Average",1345,961,1881
"1229","Census Tract 207302","10","Census Tract 480901","1/9/2019 - 30/11/2019, Every day, Daily Average",1284,876,1880
"1229","Census Tract 207302","11","Census Tract 480902","1/9/2019 - 30/11/2019, Every day, Daily Average",1160,793,1695
"1229","Census Tract 207302","12","Census Tract 480903","1/9/2019 - 30/11/2019, Every day, Daily Average",890,586,1351
"1229","Census Tract 207302","13","Census Tract 481001","1/9/2019 - 30/11/2019, Every day, Daily Average",1247,854,1819
"1229","Census Tract 207302","14","Census Tract 481002","1/9/2019 - 30/11/2019, Every day, Daily Average",1431,992,2062
"1229","Census Tract 207302","15","Census Tract 481500","1/9/2019 - 30/11/2019, Every day, Daily Average",1023,672,1555
"1229","Census Tract 207302","16","Census Tract 481603","1/9/2019 - 30/11/2019, Every day, Daily Average",1202,822,1757
"1229","Census Tract 207302","17","Census Tract 481604","1/9/2019 - 30/11/2019, Every day, Daily Average",1199,810,1772
"1229","Census Tract 207302","18","Census Tract 481605","1/9/2019 - 30/11/2019, Every day, Daily Average",944,626,1422
"1229","Census Tract 207302","19","Census Tract 481606","1/9/2019 - 30/11/2019, Every day, Daily Average",1052,718,1540
"1229","Census Tract 207302","20","Census Tract 481800","1/9/2019 - 30/11/2019, Every day, Daily Average",1113,741,1670
"1229","Census Tract 207302","21","Census Tract 481901","1/9/2019 - 30/11/2019, Every day, Daily Average",932,629,1380
"1229","Census Tract 207302","22","Census Tract 481902","1/9/2019 - 30/11/2019, Every day, Daily Average",795,525,1203
"1229","Census Tract 207302","23","Census Tract 430400","1/9/2019 - 30/11/2019, Every day, Daily Average",2282,1550,3358
"1229","Census Tract 207302","24","Census Tract 430600","1/9/2019 - 30/11/2019, Every day, Daily Average",2039,1488,2792
"1229","Census Tract 207302","25","Census Tract 430701","1/9/2019 - 30/11/2019, Every day, Daily Average",1884,1406,2524
"1229","Census Tract 207302","26","Census Tract 430721","1/9/2019 - 30/11/2019, Every day, Daily Average",2042,1506,2767
"1229","Census Tract 207302","27","Census Tract 430723","1/9/2019 - 30/11/2019, Every day, Daily Average",2109,1590,2797
"1229","Census Tract 207302","28","Census Tract 430724","1/9/2019 - 30/11/2019, Every day, Daily Average",1959,1419,2703
"1229","Census Tract 207302","29","Census Tract 430801","1/9/2019 - 30/11/2019, Every day, Daily Average",2215,1613,3040
"1229","Census Tract 207302","34","Census Tract 431600","1/9/2019 - 30/11/2019, Every day, Daily Average",1728,1268,2353
"1229","Census Tract 207302","35","Census Tract 431700","1/9/2019 - 30/11/2019, Every day, Daily Average",1897,1405,2560
"1229","Census Tract 207302","36","Census Tract 431800","1/9/2019 - 30/11/2019, Every day, Daily Average",1940,1394,2698
"1229","Census Tract 207302","39","Census Tract 554801","1/9/2019 - 30/11/2019, Every day, Daily Average",2098,1471,2990
"1229","Census Tract 207302","46","Census Tract 404000","1/9/2019 - 30/11/2019, Every day, Daily Average",2262,1553,3293
"1229","Census Tract 207302","47","Census Tract 404100","1/9/2019 - 30/11/2019, Every day, Daily Average",2250,1538,3290
"1229","Census Tract 207302","51","Census Tract 404302","1/9/2019 - 30/11/2019, Every day, Daily Average",2189,1501,3191
"1229","Census Tract 207302","52","Census Tract 404401","1/9/2019 - 30/11/2019, Every day, Daily Average",2036,1435,2887
"1229","Census Tract 207302","53","Census Tract 404402","1/9/2019 - 30/11/2019, Every day, Daily Average",2015,1407,2884
"1229","Census Tract 207302","58","Census Tract 404701","1/9/2019 - 30/11/2019, Every day, Daily Average",1441,1009,2056
