"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"03/11/2020","1232","Census Tract 207502","1380","Census Tract 224010",551,352,861,565,380,840,520,374,724,626,321,1219,553,353,864,502,314,800
"03/12/2020","1232","Census Tract 207502","1380","Census Tract 224010",602,387,939,499,296,840,579,435,769,707,420,1190,540,361,809,646,311,1343
"03/14/2020","1232","Census Tract 207502","1380","Census Tract 224010",538,332,873,,,,568,402,802,628,374,1054,543,330,893,426,274,659
"03/15/2020","1232","Census Tract 207502","1380","Census Tract 224010",448,299,669,,,,,,,445,348,569,,,,537,362,798
"03/16/2020","1232","Census Tract 207502","1380","Census Tract 224010",445,274,721,,,,,,,391,261,586,469,207,1057,,,
"03/17/2020","1232","Census Tract 207502","1380","Census Tract 224010",590,344,1013,,,,,,,,,,,,,,,
"03/18/2020","1232","Census Tract 207502","1380","Census Tract 224010",489,238,1004,,,,582,320,1058,,,,,,,,,
"03/19/2020","1232","Census Tract 207502","1380","Census Tract 224010",612,380,986,,,,,,,,,,500,361,693,,,
"03/21/2020","1232","Census Tract 207502","1380","Census Tract 224010",743,390,1417,,,,,,,,,,,,,,,
"03/22/2020","1232","Census Tract 207502","1380","Census Tract 224010",642,355,1159,423,233,766,,,,,,,,,,539,407,713
"03/23/2020","1232","Census Tract 207502","1380","Census Tract 224010",747,391,1426,,,,,,,,,,,,,,,
"03/24/2020","1232","Census Tract 207502","1380","Census Tract 224010",298,136,651,,,,,,,257,107,615,,,,,,
"03/25/2020","1232","Census Tract 207502","1380","Census Tract 224010",823,470,1441,,,,,,,,,,,,,,,
"03/26/2020","1232","Census Tract 207502","1380","Census Tract 224010",695,331,1457,,,,,,,,,,,,,,,
"03/28/2020","1232","Census Tract 207502","1380","Census Tract 224010",440,239,810,,,,,,,,,,,,,,,
"03/29/2020","1232","Census Tract 207502","1380","Census Tract 224010",410,89,1871,,,,,,,,,,,,,498,60,4131
"03/30/2020","1232","Census Tract 207502","1380","Census Tract 224010",523,165,1662,,,,,,,772,376,1583,,,,,,
"01/01/2020","1232","Census Tract 207502","1380","Census Tract 224010",657,351,1231,659,324,1340,731,430,1242,502,311,811,629,382,1035,673,352,1287
"01/02/2020","1232","Census Tract 207502","1380","Census Tract 224010",537,360,801,544,351,842,536,384,748,483,322,726,580,357,941,534,361,788
"01/04/2020","1232","Census Tract 207502","1380","Census Tract 224010",567,358,898,,,,512,353,744,664,376,1174,491,336,719,509,370,699
"01/05/2020","1232","Census Tract 207502","1380","Census Tract 224010",547,313,957,,,,,,,496,310,794,,,,514,281,940
"01/06/2020","1232","Census Tract 207502","1380","Census Tract 224010",551,391,775,452,356,575,,,,575,410,807,494,385,634,520,357,758
"01/07/2020","1232","Census Tract 207502","1380","Census Tract 224010",652,398,1067,475,231,976,,,,602,391,927,741,417,1317,581,299,1129
"01/08/2020","1232","Census Tract 207502","1380","Census Tract 224010",585,375,913,535,362,791,673,488,927,504,266,956,537,389,741,,,
"01/09/2020","1232","Census Tract 207502","1380","Census Tract 224010",608,393,943,563,354,896,656,472,910,572,363,900,615,367,1029,487,292,811
"01/11/2020","1232","Census Tract 207502","1380","Census Tract 224010",539,345,842,,,,457,328,637,576,390,853,558,350,888,538,309,936
"01/12/2020","1232","Census Tract 207502","1380","Census Tract 224010",602,302,1198,396,295,531,,,,704,398,1246,,,,593,306,1148
"01/13/2020","1232","Census Tract 207502","1380","Census Tract 224010",552,369,824,442,348,560,,,,541,377,777,451,291,698,546,358,832
"01/14/2020","1232","Census Tract 207502","1380","Census Tract 224010",608,401,922,530,360,779,,,,618,368,1036,512,341,769,,,
"01/15/2020","1232","Census Tract 207502","1380","Census Tract 224010",637,424,957,607,394,934,694,518,930,592,371,945,554,383,801,707,400,1248
"01/16/2020","1232","Census Tract 207502","1380","Census Tract 224010",641,394,1044,483,325,720,699,418,1167,612,384,976,631,434,916,704,425,1165
"01/18/2020","1232","Census Tract 207502","1380","Census Tract 224010",604,363,1003,,,,669,395,1132,660,383,1138,564,361,882,485,322,730
"01/19/2020","1232","Census Tract 207502","1380","Census Tract 224010",551,341,891,585,382,897,,,,561,350,898,,,,599,361,996
"01/20/2020","1232","Census Tract 207502","1380","Census Tract 224010",524,282,972,345,246,482,,,,465,269,802,427,292,624,442,208,938
"01/21/2020","1232","Census Tract 207502","1380","Census Tract 224010",612,406,923,633,426,942,,,,573,345,950,462,332,643,601,362,997
"01/22/2020","1232","Census Tract 207502","1380","Census Tract 224010",634,406,990,525,356,776,662,480,912,716,399,1287,566,355,905,,,
