"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"06/01/2019","1229","Census Tract 207302","1229","Census Tract 207302",204,96,434,,,,,,,,,,204,96,434,,,
"06/02/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/03/2019","1229","Census Tract 207302","1229","Census Tract 207302",138,66,288,,,,,,,,,,138,66,288,,,
"06/04/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/05/2019","1229","Census Tract 207302","1229","Census Tract 207302",189,56,635,,,,,,,,,,189,56,635,,,
"06/06/2019","1229","Census Tract 207302","1229","Census Tract 207302",224,81,617,,,,,,,,,,224,81,617,,,
"06/07/2019","1229","Census Tract 207302","1229","Census Tract 207302",159,81,311,,,,,,,,,,159,81,311,,,
"06/08/2019","1229","Census Tract 207302","1229","Census Tract 207302",171,63,463,,,,,,,,,,171,63,463,,,
"06/09/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/10/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/11/2019","1229","Census Tract 207302","1229","Census Tract 207302",173,53,555,,,,,,,,,,173,53,555,,,
"06/12/2019","1229","Census Tract 207302","1229","Census Tract 207302",173,65,455,,,,,,,,,,173,65,455,,,
"06/13/2019","1229","Census Tract 207302","1229","Census Tract 207302",154,52,457,,,,,,,,,,154,52,457,,,
"06/14/2019","1229","Census Tract 207302","1229","Census Tract 207302",149,82,269,,,,,,,,,,149,82,269,,,
"06/15/2019","1229","Census Tract 207302","1229","Census Tract 207302",159,64,399,,,,,,,,,,159,64,399,,,
"06/16/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/17/2019","1229","Census Tract 207302","1229","Census Tract 207302",100,42,238,,,,,,,,,,100,42,238,,,
"06/18/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/19/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"06/20/2019","1229","Census Tract 207302","1229","Census Tract 207302",132,56,307,,,,,,,,,,132,56,307,,,
"06/21/2019","1229","Census Tract 207302","1229","Census Tract 207302",184,66,511,,,,,,,,,,184,66,511,,,
