"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","1222","Census Tract 206050","1/6/2019 - 31/8/2019, Every day, Daily Average",493,324,749
"1229","Census Tract 207302","1223","Census Tract 206200","1/6/2019 - 31/8/2019, Every day, Daily Average",132,55,312
"1229","Census Tract 207302","1224","Census Tract 206300","1/6/2019 - 31/8/2019, Every day, Daily Average",122,41,359
"1229","Census Tract 207302","1225","Census Tract 207101","1/6/2019 - 31/8/2019, Every day, Daily Average",417,257,674
"1229","Census Tract 207302","1226","Census Tract 207102","1/6/2019 - 31/8/2019, Every day, Daily Average",336,201,560
"1229","Census Tract 207302","1227","Census Tract 207103","1/6/2019 - 31/8/2019, Every day, Daily Average",481,312,740
"1229","Census Tract 207302","1228","Census Tract 207301","1/6/2019 - 31/8/2019, Every day, Daily Average",122,50,297
"1229","Census Tract 207302","1229","Census Tract 207302","1/6/2019 - 31/8/2019, Every day, Daily Average",173,67,444
"1229","Census Tract 207302","1230","Census Tract 207400","1/6/2019 - 31/8/2019, Every day, Daily Average",239,103,551
"1229","Census Tract 207302","1231","Census Tract 207501","1/6/2019 - 31/8/2019, Every day, Daily Average",301,163,554
"1229","Census Tract 207302","1232","Census Tract 207502","1/6/2019 - 31/8/2019, Every day, Daily Average",264,133,522
"1229","Census Tract 207302","1233","Census Tract 207710","1/6/2019 - 31/8/2019, Every day, Daily Average",358,192,664
"1229","Census Tract 207302","1234","Census Tract 207900","1/6/2019 - 31/8/2019, Every day, Daily Average",355,193,651
"1229","Census Tract 207302","1235","Census Tract 208000","1/6/2019 - 31/8/2019, Every day, Daily Average",378,216,658
"1229","Census Tract 207302","1236","Census Tract 208301","1/6/2019 - 31/8/2019, Every day, Daily Average",445,287,689
"1229","Census Tract 207302","1237","Census Tract 208302","1/6/2019 - 31/8/2019, Every day, Daily Average",461,294,720
"1229","Census Tract 207302","1238","Census Tract 208401","1/6/2019 - 31/8/2019, Every day, Daily Average",511,339,768
"1229","Census Tract 207302","1239","Census Tract 208402","1/6/2019 - 31/8/2019, Every day, Daily Average",620,422,909
"1229","Census Tract 207302","1240","Census Tract 208501","1/6/2019 - 31/8/2019, Every day, Daily Average",679,480,959
"1229","Census Tract 207302","1241","Census Tract 208502","1/6/2019 - 31/8/2019, Every day, Daily Average",581,397,850
"1229","Census Tract 207302","1242","Census Tract 208610","1/6/2019 - 31/8/2019, Every day, Daily Average",723,512,1019
"1229","Census Tract 207302","1243","Census Tract 208620","1/6/2019 - 31/8/2019, Every day, Daily Average",671,471,955
"1229","Census Tract 207302","1244","Census Tract 208710","1/6/2019 - 31/8/2019, Every day, Daily Average",725,507,1035
"1229","Census Tract 207302","1245","Census Tract 208720","1/6/2019 - 31/8/2019, Every day, Daily Average",726,502,1049
"1229","Census Tract 207302","1246","Census Tract 208801","1/6/2019 - 31/8/2019, Every day, Daily Average",630,424,934
"1229","Census Tract 207302","1247","Census Tract 208802","1/6/2019 - 31/8/2019, Every day, Daily Average",653,446,955
"1229","Census Tract 207302","1248","Census Tract 208902","1/6/2019 - 31/8/2019, Every day, Daily Average",642,436,943
"1229","Census Tract 207302","1249","Census Tract 208903","1/6/2019 - 31/8/2019, Every day, Daily Average",606,402,912
"1229","Census Tract 207302","1250","Census Tract 208904","1/6/2019 - 31/8/2019, Every day, Daily Average",545,353,839
"1229","Census Tract 207302","1251","Census Tract 209102","1/6/2019 - 31/8/2019, Every day, Daily Average",556,367,842
"1229","Census Tract 207302","1252","Census Tract 209103","1/6/2019 - 31/8/2019, Every day, Daily Average",448,278,719
"1229","Census Tract 207302","1253","Census Tract 209104","1/6/2019 - 31/8/2019, Every day, Daily Average",469,295,743
"1229","Census Tract 207302","1254","Census Tract 209200","1/6/2019 - 31/8/2019, Every day, Daily Average",385,227,651
"1229","Census Tract 207302","1255","Census Tract 209300","1/6/2019 - 31/8/2019, Every day, Daily Average",442,275,709
"1229","Census Tract 207302","1256","Census Tract 209401","1/6/2019 - 31/8/2019, Every day, Daily Average",669,463,965
"1229","Census Tract 207302","1257","Census Tract 209402","1/6/2019 - 31/8/2019, Every day, Daily Average",598,408,876
"1229","Census Tract 207302","1258","Census Tract 209403","1/6/2019 - 31/8/2019, Every day, Daily Average",553,370,825
"1229","Census Tract 207302","1259","Census Tract 209510","1/6/2019 - 31/8/2019, Every day, Daily Average",776,531,1133
"1229","Census Tract 207302","1260","Census Tract 209520","1/6/2019 - 31/8/2019, Every day, Daily Average",704,475,1042
"1229","Census Tract 207302","1261","Census Tract 209810","1/6/2019 - 31/8/2019, Every day, Daily Average",861,596,1241
"1229","Census Tract 207302","1262","Census Tract 209820","1/6/2019 - 31/8/2019, Every day, Daily Average",779,538,1127
"1229","Census Tract 207302","1263","Census Tract 210010","1/6/2019 - 31/8/2019, Every day, Daily Average",494,308,791
"1229","Census Tract 207302","1264","Census Tract 211000","1/6/2019 - 31/8/2019, Every day, Daily Average",1497,1136,1971
"1229","Census Tract 207302","1265","Census Tract 211120","1/6/2019 - 31/8/2019, Every day, Daily Average",841,606,1167
"1229","Census Tract 207302","1266","Census Tract 211121","1/6/2019 - 31/8/2019, Every day, Daily Average",759,539,1067
"1229","Census Tract 207302","1267","Census Tract 211122","1/6/2019 - 31/8/2019, Every day, Daily Average",833,594,1166
"1229","Census Tract 207302","1268","Census Tract 211201","1/6/2019 - 31/8/2019, Every day, Daily Average",1020,718,1447
"1229","Census Tract 207302","1269","Census Tract 211202","1/6/2019 - 31/8/2019, Every day, Daily Average",979,684,1400
"1229","Census Tract 207302","1270","Census Tract 211310","1/6/2019 - 31/8/2019, Every day, Daily Average",998,726,1370
"1229","Census Tract 207302","1271","Census Tract 211320","1/6/2019 - 31/8/2019, Every day, Daily Average",901,646,1255
"1229","Census Tract 207302","1272","Census Tract 211410","1/6/2019 - 31/8/2019, Every day, Daily Average",1168,867,1573
"1229","Census Tract 207302","1273","Census Tract 211420","1/6/2019 - 31/8/2019, Every day, Daily Average",1078,778,1492
"1229","Census Tract 207302","1274","Census Tract 211500","1/6/2019 - 31/8/2019, Every day, Daily Average",1282,958,1715
"1229","Census Tract 207302","1275","Census Tract 211701","1/6/2019 - 31/8/2019, Every day, Daily Average",1405,1085,1818
"1229","Census Tract 207302","1276","Census Tract 211703","1/6/2019 - 31/8/2019, Every day, Daily Average",1229,925,1631
"1229","Census Tract 207302","1277","Census Tract 211704","1/6/2019 - 31/8/2019, Every day, Daily Average",1281,970,1690
"1229","Census Tract 207302","1278","Census Tract 211802","1/6/2019 - 31/8/2019, Every day, Daily Average",1133,843,1521
