"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","2245","Census Tract 408631","1/1/2019 - 1/3/2019, Every day, Daily Average",1832,1328,2526
"1229","Census Tract 207302","2246","Census Tract 408703","1/1/2019 - 1/3/2019, Every day, Daily Average",2829,2041,3921
"1229","Census Tract 207302","2262","Census Tract 433700","1/1/2019 - 1/3/2019, Every day, Daily Average",1372,948,1984
"1229","Census Tract 207302","2263","Census Tract 433802","1/1/2019 - 1/3/2019, Every day, Daily Average",1426,985,2064
"1229","Census Tract 207302","2273","Census Tract 461000","1/1/2019 - 1/3/2019, Every day, Daily Average",1723,1320,2248
"1229","Census Tract 207302","2276","Census Tract 461300","1/1/2019 - 1/3/2019, Every day, Daily Average",1600,1272,2011
"1229","Census Tract 207302","2279","Census Tract 463101","1/1/2019 - 1/3/2019, Every day, Daily Average",1744,1380,2203
"1229","Census Tract 207302","2280","Census Tract 463102","1/1/2019 - 1/3/2019, Every day, Daily Average",1886,1434,2479
"1229","Census Tract 207302","2282","Census Tract 480002","1/1/2019 - 1/3/2019, Every day, Daily Average",1836,1359,2479
"1229","Census Tract 207302","2283","Census Tract 480011","1/1/2019 - 1/3/2019, Every day, Daily Average",1889,1428,2497
"1229","Census Tract 207302","2284","Census Tract 480012","1/1/2019 - 1/3/2019, Every day, Daily Average",1816,1316,2504
"1229","Census Tract 207302","2287","Census Tract 481202","1/1/2019 - 1/3/2019, Every day, Daily Average",1759,1148,2694
"1229","Census Tract 207302","2288","Census Tract 482402","1/1/2019 - 1/3/2019, Every day, Daily Average",1312,904,1902
"1229","Census Tract 207302","2289","Census Tract 482521","1/1/2019 - 1/3/2019, Every day, Daily Average",1674,1146,2443
"1229","Census Tract 207302","2290","Census Tract 482522","1/1/2019 - 1/3/2019, Every day, Daily Average",1605,1137,2264
"1229","Census Tract 207302","2294","Census Tract 500300","1/1/2019 - 1/3/2019, Every day, Daily Average",1752,1197,2563
"1229","Census Tract 207302","2295","Census Tract 500403","1/1/2019 - 1/3/2019, Every day, Daily Average",1954,1333,2862
"1229","Census Tract 207302","2297","Census Tract 500500","1/1/2019 - 1/3/2019, Every day, Daily Average",1285,1014,1627
"1229","Census Tract 207302","2298","Census Tract 501001","1/1/2019 - 1/3/2019, Every day, Daily Average",2035,1414,2928
"1229","Census Tract 207302","2299","Census Tract 501002","1/1/2019 - 1/3/2019, Every day, Daily Average",1968,1474,2626
"1229","Census Tract 207302","2300","Census Tract 501200","1/1/2019 - 1/3/2019, Every day, Daily Average",2012,1406,2878
"1229","Census Tract 207302","2306","Census Tract 502200","1/1/2019 - 1/3/2019, Every day, Daily Average",1874,1299,2702
"1229","Census Tract 207302","2307","Census Tract 502301","1/1/2019 - 1/3/2019, Every day, Daily Average",1843,1251,2714
"1229","Census Tract 207302","2310","Census Tract 502902","1/1/2019 - 1/3/2019, Every day, Daily Average",1788,1292,2473
"1229","Census Tract 207302","2314","Census Tract 503105","1/1/2019 - 1/3/2019, Every day, Daily Average",1997,1374,2902
"1229","Census Tract 207302","2317","Census Tract 503202","1/1/2019 - 1/3/2019, Every day, Daily Average",1751,1328,2308
"1229","Census Tract 207302","2324","Census Tract 530202","1/1/2019 - 1/3/2019, Every day, Daily Average",1350,968,1881
"1229","Census Tract 207302","2325","Census Tract 530301","1/1/2019 - 1/3/2019, Every day, Daily Average",1109,786,1564
"1229","Census Tract 207302","2326","Census Tract 530302","1/1/2019 - 1/3/2019, Every day, Daily Average",981,682,1410
"1229","Census Tract 207302","2327","Census Tract 530400","1/1/2019 - 1/3/2019, Every day, Daily Average",913,637,1307
"1229","Census Tract 207302","2328","Census Tract 530500","1/1/2019 - 1/3/2019, Every day, Daily Average",875,610,1254
"1229","Census Tract 207302","2329","Census Tract 530601","1/1/2019 - 1/3/2019, Every day, Daily Average",710,470,1072
"1229","Census Tract 207302","2330","Census Tract 530602","1/1/2019 - 1/3/2019, Every day, Daily Average",728,483,1096
"1229","Census Tract 207302","2331","Census Tract 530700","1/1/2019 - 1/3/2019, Every day, Daily Average",679,439,1050
"1229","Census Tract 207302","2332","Census Tract 530801","1/1/2019 - 1/3/2019, Every day, Daily Average",651,426,994
"1229","Census Tract 207302","2333","Census Tract 530802","1/1/2019 - 1/3/2019, Every day, Daily Average",663,439,999
"1229","Census Tract 207302","2334","Census Tract 530901","1/1/2019 - 1/3/2019, Every day, Daily Average",963,712,1302
"1229","Census Tract 207302","2335","Census Tract 530902","1/1/2019 - 1/3/2019, Every day, Daily Average",995,712,1390
"1229","Census Tract 207302","2336","Census Tract 531000","1/1/2019 - 1/3/2019, Every day, Daily Average",841,583,1211
"1229","Census Tract 207302","2337","Census Tract 531101","1/1/2019 - 1/3/2019, Every day, Daily Average",735,517,1043
"1229","Census Tract 207302","2338","Census Tract 531102","1/1/2019 - 1/3/2019, Every day, Daily Average",770,538,1100
"1229","Census Tract 207302","2339","Census Tract 531201","1/1/2019 - 1/3/2019, Every day, Daily Average",735,527,1024
"1229","Census Tract 207302","2340","Census Tract 531202","1/1/2019 - 1/3/2019, Every day, Daily Average",894,665,1200
"1229","Census Tract 207302","2341","Census Tract 531301","1/1/2019 - 1/3/2019, Every day, Daily Average",955,669,1362
"1229","Census Tract 207302","2342","Census Tract 531302","1/1/2019 - 1/3/2019, Every day, Daily Average",729,504,1052
"1229","Census Tract 207302","2343","Census Tract 531502","1/1/2019 - 1/3/2019, Every day, Daily Average",1061,745,1509
"1229","Census Tract 207302","2344","Census Tract 531503","1/1/2019 - 1/3/2019, Every day, Daily Average",851,598,1209
"1229","Census Tract 207302","2345","Census Tract 531504","1/1/2019 - 1/3/2019, Every day, Daily Average",1074,774,1489
"1229","Census Tract 207302","2346","Census Tract 531602","1/1/2019 - 1/3/2019, Every day, Daily Average",1161,824,1634
"1229","Census Tract 207302","2347","Census Tract 531603","1/1/2019 - 1/3/2019, Every day, Daily Average",1174,860,1601
"1229","Census Tract 207302","2348","Census Tract 531604","1/1/2019 - 1/3/2019, Every day, Daily Average",1208,845,1725
"1229","Census Tract 207302","2349","Census Tract 531701","1/1/2019 - 1/3/2019, Every day, Daily Average",1298,917,1836
"1229","Census Tract 207302","2350","Census Tract 531702","1/1/2019 - 1/3/2019, Every day, Daily Average",1308,919,1860
"1229","Census Tract 207302","2351","Census Tract 531800","1/1/2019 - 1/3/2019, Every day, Daily Average",1403,998,1970
"1229","Census Tract 207302","2352","Census Tract 531901","1/1/2019 - 1/3/2019, Every day, Daily Average",1429,994,2052
"1229","Census Tract 207302","2353","Census Tract 531902","1/1/2019 - 1/3/2019, Every day, Daily Average",1520,1082,2135
"1229","Census Tract 207302","2354","Census Tract 532400","1/1/2019 - 1/3/2019, Every day, Daily Average",1147,799,1644
"1229","Census Tract 207302","2355","Census Tract 532700","1/1/2019 - 1/3/2019, Every day, Daily Average",1303,877,1934
"1229","Census Tract 207302","2356","Census Tract 532800","1/1/2019 - 1/3/2019, Every day, Daily Average",1347,948,1913
"1229","Census Tract 207302","2357","Census Tract 532900","1/1/2019 - 1/3/2019, Every day, Daily Average",1414,1003,1991
"1229","Census Tract 207302","2358","Census Tract 533001","1/1/2019 - 1/3/2019, Every day, Daily Average",1365,947,1966
"1229","Census Tract 207302","2359","Census Tract 533002","1/1/2019 - 1/3/2019, Every day, Daily Average",1397,892,2187
"1229","Census Tract 207302","2360","Census Tract 533300","1/1/2019 - 1/3/2019, Every day, Daily Average",1251,942,1660
"1229","Census Tract 207302","2362","Census Tract 534802","1/1/2019 - 1/3/2019, Every day, Daily Average",1576,1111,2233
"1229","Census Tract 207302","2363","Census Tract 534803","1/1/2019 - 1/3/2019, Every day, Daily Average",1522,1061,2181
"1229","Census Tract 207302","2364","Census Tract 534804","1/1/2019 - 1/3/2019, Every day, Daily Average",1474,1058,2053
"1229","Census Tract 207302","2365","Census Tract 534900","1/1/2019 - 1/3/2019, Every day, Daily Average",1347,940,1929
"1229","Census Tract 207302","2366","Census Tract 535001","1/1/2019 - 1/3/2019, Every day, Daily Average",1451,1050,2003
"1229","Census Tract 207302","2367","Census Tract 535002","1/1/2019 - 1/3/2019, Every day, Daily Average",1546,1138,2098
"1229","Census Tract 207302","2368","Census Tract 535101","1/1/2019 - 1/3/2019, Every day, Daily Average",1594,1161,2187
"1229","Census Tract 207302","2369","Census Tract 535102","1/1/2019 - 1/3/2019, Every day, Daily Average",1629,1187,2234
"1229","Census Tract 207302","2370","Census Tract 535200","1/1/2019 - 1/3/2019, Every day, Daily Average",1615,1153,2261
"1229","Census Tract 207302","2371","Census Tract 535300","1/1/2019 - 1/3/2019, Every day, Daily Average",1423,1016,1992
"1229","Census Tract 207302","2372","Census Tract 535400","1/1/2019 - 1/3/2019, Every day, Daily Average",1546,1104,2163
"1229","Census Tract 207302","2373","Census Tract 536200","1/1/2019 - 1/3/2019, Every day, Daily Average",1723,1101,2694
"1229","Census Tract 207302","2374","Census Tract 540000","1/1/2019 - 1/3/2019, Every day, Daily Average",1614,1026,2537
"1229","Census Tract 207302","2375","Census Tract 540400","1/1/2019 - 1/3/2019, Every day, Daily Average",1684,1112,2549
"1229","Census Tract 207302","2376","Census Tract 540600","1/1/2019 - 1/3/2019, Every day, Daily Average",1643,1107,2438
"1229","Census Tract 207302","2377","Census Tract 540700","1/1/2019 - 1/3/2019, Every day, Daily Average",1555,1035,2334
"1229","Census Tract 207302","2378","Census Tract 540800","1/1/2019 - 1/3/2019, Every day, Daily Average",1641,1106,2433
"1229","Census Tract 207302","2379","Census Tract 540901","1/1/2019 - 1/3/2019, Every day, Daily Average",1278,852,1915
"1229","Census Tract 207302","2380","Census Tract 540902","1/1/2019 - 1/3/2019, Every day, Daily Average",1803,1216,2671
"1229","Census Tract 207302","2381","Census Tract 541001","1/1/2019 - 1/3/2019, Every day, Daily Average",1699,1163,2481
"1229","Census Tract 207302","2386","Census Tract 541802","1/1/2019 - 1/3/2019, Every day, Daily Average",1688,1124,2533
"1229","Census Tract 207302","2394","Census Tract 543305","1/1/2019 - 1/3/2019, Every day, Daily Average",2052,1435,2932
"1229","Census Tract 207302","2395","Census Tract 543501","1/1/2019 - 1/3/2019, Every day, Daily Average",1526,1064,2187
"1229","Census Tract 207302","2396","Census Tract 543502","1/1/2019 - 1/3/2019, Every day, Daily Average",1597,1095,2328
