"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"09/17/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"09/18/2019","1229","Census Tract 207302","1229","Census Tract 207302",510,127,2052,,,,,,,,,,510,127,2052,,,
"09/19/2019","1229","Census Tract 207302","1229","Census Tract 207302",62,32,120,,,,,,,,,,62,32,120,,,
"09/20/2019","1229","Census Tract 207302","1229","Census Tract 207302",186,66,519,,,,,,,,,,186,66,519,,,
"09/21/2019","1229","Census Tract 207302","1229","Census Tract 207302",187,72,481,,,,,,,,,,187,72,481,,,
"09/22/2019","1229","Census Tract 207302","1229","Census Tract 207302",201,77,523,,,,,,,,,,201,77,523,,,
"09/23/2019","1229","Census Tract 207302","1229","Census Tract 207302",338,88,1289,,,,,,,,,,338,88,1289,,,
"09/24/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"09/25/2019","1229","Census Tract 207302","1229","Census Tract 207302",305,63,1463,,,,,,,,,,305,63,1463,,,
"09/26/2019","1229","Census Tract 207302","1229","Census Tract 207302",381,133,1085,,,,,,,,,,381,133,1085,,,
"09/27/2019","1229","Census Tract 207302","1229","Census Tract 207302",147,67,320,,,,,,,,,,147,67,320,,,
"09/28/2019","1229","Census Tract 207302","1229","Census Tract 207302",179,74,427,,,,,,,,,,179,74,427,,,
"09/29/2019","1229","Census Tract 207302","1229","Census Tract 207302",127,56,291,,,,,,,,,,127,56,291,,,
"10/01/2019","1229","Census Tract 207302","1229","Census Tract 207302",403,67,2433,,,,,,,,,,403,67,2433,,,
"10/02/2019","1229","Census Tract 207302","1229","Census Tract 207302",135,44,412,,,,,,,,,,135,44,412,,,
"10/03/2019","1229","Census Tract 207302","1229","Census Tract 207302",145,82,257,,,,,,,,,,145,82,257,,,
"10/04/2019","1229","Census Tract 207302","1229","Census Tract 207302",167,47,584,,,,,,,,,,167,47,584,,,
"10/05/2019","1229","Census Tract 207302","1229","Census Tract 207302",178,74,426,,,,,,,,,,178,74,426,,,
"10/06/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"10/07/2019","1229","Census Tract 207302","1229","Census Tract 207302",125,49,319,,,,,,,,,,125,49,319,,,
"10/08/2019","1229","Census Tract 207302","1229","Census Tract 207302",168,71,400,,,,,,,,,,168,71,400,,,
"10/09/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"10/10/2019","1229","Census Tract 207302","1229","Census Tract 207302",180,68,472,,,,,,,,,,180,68,472,,,
"10/11/2019","1229","Census Tract 207302","1229","Census Tract 207302",165,79,346,,,,,,,,,,165,79,346,,,
"10/12/2019","1229","Census Tract 207302","1229","Census Tract 207302",220,97,499,,,,,,,,,,220,97,499,,,
"10/13/2019","1229","Census Tract 207302","1229","Census Tract 207302",79,39,159,,,,,,,,,,79,39,159,,,
"10/14/2019","1229","Census Tract 207302","1229","Census Tract 207302",138,100,190,,,,,,,,,,138,100,190,,,
"10/15/2019","1229","Census Tract 207302","1229","Census Tract 207302",110,44,272,,,,,,,,,,110,44,272,,,
"10/16/2019","1229","Census Tract 207302","1229","Census Tract 207302",136,57,324,,,,,,,,,,136,57,324,,,
"10/17/2019","1229","Census Tract 207302","1229","Census Tract 207302",108,47,248,,,,,,,,,,108,47,248,,,
"10/18/2019","1229","Census Tract 207302","1229","Census Tract 207302",173,59,505,,,,,,,,,,173,59,505,,,
"10/19/2019","1229","Census Tract 207302","1229","Census Tract 207302",124,51,299,,,,,,,,,,124,51,299,,,
"10/20/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"10/21/2019","1229","Census Tract 207302","1229","Census Tract 207302",71,37,137,,,,,,,,,,71,37,137,,,
"10/22/2019","1229","Census Tract 207302","1229","Census Tract 207302",76,30,190,,,,,,,,,,76,30,190,,,
"10/23/2019","1229","Census Tract 207302","1229","Census Tract 207302",427,119,1532,,,,,,,,,,427,119,1532,,,
"10/24/2019","1229","Census Tract 207302","1229","Census Tract 207302",107,35,325,,,,,,,,,,107,35,325,,,
"10/25/2019","1229","Census Tract 207302","1229","Census Tract 207302",347,91,1324,,,,,,,,,,347,91,1324,,,
"10/26/2019","1229","Census Tract 207302","1229","Census Tract 207302",183,70,481,,,,,,,,,,183,70,481,,,
"10/27/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"10/28/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"10/29/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"10/30/2019","1229","Census Tract 207302","1229","Census Tract 207302",90,28,288,,,,,,,,,,90,28,288,,,
"11/01/2019","1229","Census Tract 207302","1229","Census Tract 207302",227,106,483,,,,,,,,,,227,106,483,,,
"11/02/2019","1229","Census Tract 207302","1229","Census Tract 207302",184,72,468,,,,,,,,,,184,72,468,,,
"11/03/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"11/04/2019","1229","Census Tract 207302","1229","Census Tract 207302",163,96,273,,,,,,,,,,163,96,273,,,
"11/05/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"11/06/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"11/07/2019","1229","Census Tract 207302","1229","Census Tract 207302",108,46,252,,,,,,,,,,108,46,252,,,
"11/08/2019","1229","Census Tract 207302","1229","Census Tract 207302",254,82,783,,,,,,,,,,254,82,783,,,
"11/09/2019","1229","Census Tract 207302","1229","Census Tract 207302",182,67,491,,,,,,,,,,182,67,491,,,
