Date,Daily Mean Travel Time (Seconds),AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
05/12/2019,882,714,913,1167,746,672
05/13/2019,1026,,1103,930,778,1016
05/15/2019,1088,2417,866,1095,923,895
05/16/2019,1150,2812,,1097,694,1048
05/17/2019,1029,1945,1012,1109,,1011
05/18/2019,897,944,848,1259,788,669
05/19/2019,803,647,898,939,703,716
05/20/2019,1063,2582,964,1041,652,872
05/22/2019,1404,2319,1054,1802,684,877
05/23/2019,962,2018,,991,693,755
05/24/2019,1027,1560,1010,1196,,1199
05/25/2019,859,766,1002,1059,677,666
05/26/2019,759,864,770,802,662,734
05/27/2019,794,795,918,880,679,620
05/29/2019,1100,2775,1059,1301,686,861
05/30/2019,1159,2202,,1283,734,840
05/31/2019,1075,1927,909,1278,,1146
06/01/2019,890,864,805,1121,769,916
06/02/2019,963,1221,1066,958,700,1006
06/03/2019,1038,2232,928,1046,689,1046
06/05/2019,1117,2100,1131,1143,729,1097
06/06/2019,1153,2051,,1288,717,998
06/07/2019,1075,1908,1133,1131,,931
06/08/2019,1027,1068,1083,1284,753,928
06/09/2019,1049,853,1012,1492,695,909
06/10/2019,1143,2176,1207,1103,746,1144
06/12/2019,1198,2272,1295,1276,835,864
06/13/2019,1212,1682,,1293,896,804
06/14/2019,1098,1780,981,1264,,981
06/15/2019,1098,1060,903,1442,690,1030
06/16/2019,978,993,798,1104,713,1067
06/17/2019,1037,1990,881,1006,710,1116
06/19/2019,1278,2276,1358,1242,912,939
06/20/2019,1073,1829,,1191,738,1420
06/21/2019,1010,1712,1361,1008,,818
06/22/2019,919,822,894,1218,851,676
06/23/2019,957,749,1146,1434,650,664
06/24/2019,1185,2470,1136,1120,691,1264
06/26/2019,1068,1975,1162,1072,762,1109
06/27/2019,1251,2529,,1348,724,1087
06/28/2019,1143,1822,1084,1313,,965
06/29/2019,1062,1164,914,1423,789,1056
06/30/2019,999,885,982,1491,686,654
07/01/2019,1069,2106,913,1213,747,913
07/03/2019,988,,921,1157,726,825
07/04/2019,774,761,,800,761,684
07/05/2019,898,756,871,1150,,750
07/06/2019,888,695,822,1093,840,670
07/07/2019,774,620,860,851,739,664
07/08/2019,1119,2045,1130,1159,725,1028
07/10/2019,1091,2167,1045,1098,767,945
07/11/2019,1157,2221,,1231,722,1188
07/12/2019,1078,1928,878,1386,,782
07/13/2019,1115,1312,848,1510,772,1064
07/14/2019,1036,995,989,1330,673,951
07/15/2019,1101,2369,1109,1050,746,950
07/17/2019,1109,1971,1027,1223,761,871
07/18/2019,1190,2122,,1342,726,988
07/19/2019,1097,1916,858,1183,,1065
07/20/2019,1060,911,856,1369,727,1157
07/21/2019,954,787,988,1386,710,791
07/22/2019,1055,2012,1069,1039,831,835
07/24/2019,1244,2342,1091,1568,711,1066
07/25/2019,1180,2054,,1169,882,915
07/26/2019,1266,1919,1113,1726,,1052
07/27/2019,921,963,895,1291,728,698
07/28/2019,886,821,875,1146,739,693
07/29/2019,1154,1945,1259,1095,781,975
07/31/2019,1206,1977,1304,1167,804,933
05/01/2019,1137,2541,1129,1087,775,1094
05/02/2019,1107,2415,,1095,740,1417
05/03/2019,976,1500,1086,1114,,763
05/04/2019,924,963,1050,1137,709,812
05/05/2019,856,768,921,1026,706,674
05/06/2019,1003,2279,1015,941,790,1059
05/08/2019,1025,2336,957,997,723,1186
05/09/2019,1028,2448,,1040,750,749
05/10/2019,1010,1992,1110,1002,,939
05/11/2019,904,915,852,1196,765,711
