"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1229","Census Tract 207302","1","Census Tract 480302","2/3/2019 - 31/5/2019, Every day, Daily Average",1603,1164,2207
"1229","Census Tract 207302","2","Census Tract 480303","2/3/2019 - 31/5/2019, Every day, Daily Average",1444,1011,2061
"1229","Census Tract 207302","3","Census Tract 480304","2/3/2019 - 31/5/2019, Every day, Daily Average",1397,967,2017
"1229","Census Tract 207302","4","Census Tract 480400","2/3/2019 - 31/5/2019, Every day, Daily Average",1593,1149,2206
"1229","Census Tract 207302","5","Census Tract 480500","2/3/2019 - 31/5/2019, Every day, Daily Average",1680,1269,2222
"1229","Census Tract 207302","6","Census Tract 480704","2/3/2019 - 31/5/2019, Every day, Daily Average",1380,1060,1795
"1229","Census Tract 207302","7","Census Tract 480802","2/3/2019 - 31/5/2019, Every day, Daily Average",1115,767,1620
"1229","Census Tract 207302","8","Census Tract 480803","2/3/2019 - 31/5/2019, Every day, Daily Average",1287,930,1780
"1229","Census Tract 207302","9","Census Tract 480804","2/3/2019 - 31/5/2019, Every day, Daily Average",1376,1019,1857
"1229","Census Tract 207302","10","Census Tract 480901","2/3/2019 - 31/5/2019, Every day, Daily Average",1310,903,1899
"1229","Census Tract 207302","11","Census Tract 480902","2/3/2019 - 31/5/2019, Every day, Daily Average",1196,826,1731
"1229","Census Tract 207302","12","Census Tract 480903","2/3/2019 - 31/5/2019, Every day, Daily Average",898,599,1344
"1229","Census Tract 207302","13","Census Tract 481001","2/3/2019 - 31/5/2019, Every day, Daily Average",1298,901,1869
"1229","Census Tract 207302","14","Census Tract 481002","2/3/2019 - 31/5/2019, Every day, Daily Average",1477,1069,2039
"1229","Census Tract 207302","15","Census Tract 481500","2/3/2019 - 31/5/2019, Every day, Daily Average",1017,685,1509
"1229","Census Tract 207302","16","Census Tract 481603","2/3/2019 - 31/5/2019, Every day, Daily Average",1310,921,1862
"1229","Census Tract 207302","17","Census Tract 481604","2/3/2019 - 31/5/2019, Every day, Daily Average",1293,902,1852
"1229","Census Tract 207302","18","Census Tract 481605","2/3/2019 - 31/5/2019, Every day, Daily Average",953,643,1411
"1229","Census Tract 207302","19","Census Tract 481606","2/3/2019 - 31/5/2019, Every day, Daily Average",1098,761,1584
"1229","Census Tract 207302","20","Census Tract 481800","2/3/2019 - 31/5/2019, Every day, Daily Average",1110,747,1648
"1229","Census Tract 207302","21","Census Tract 481901","2/3/2019 - 31/5/2019, Every day, Daily Average",926,638,1342
"1229","Census Tract 207302","22","Census Tract 481902","2/3/2019 - 31/5/2019, Every day, Daily Average",808,540,1208
"1229","Census Tract 207302","23","Census Tract 430400","2/3/2019 - 31/5/2019, Every day, Daily Average",2003,1593,2518
"1229","Census Tract 207302","24","Census Tract 430600","2/3/2019 - 31/5/2019, Every day, Daily Average",1936,1523,2460
"1229","Census Tract 207302","25","Census Tract 430701","2/3/2019 - 31/5/2019, Every day, Daily Average",1824,1436,2316
"1229","Census Tract 207302","26","Census Tract 430721","2/3/2019 - 31/5/2019, Every day, Daily Average",1960,1513,2537
"1229","Census Tract 207302","27","Census Tract 430723","2/3/2019 - 31/5/2019, Every day, Daily Average",2026,1552,2644
"1229","Census Tract 207302","28","Census Tract 430724","2/3/2019 - 31/5/2019, Every day, Daily Average",1923,1415,2611
"1229","Census Tract 207302","29","Census Tract 430801","2/3/2019 - 31/5/2019, Every day, Daily Average",2194,1671,2880
"1229","Census Tract 207302","31","Census Tract 430803","2/3/2019 - 31/5/2019, Every day, Daily Average",2170,1656,2842
"1229","Census Tract 207302","33","Census Tract 431502","2/3/2019 - 31/5/2019, Every day, Daily Average",1915,1305,2809
"1229","Census Tract 207302","34","Census Tract 431600","2/3/2019 - 31/5/2019, Every day, Daily Average",1784,1292,2461
"1229","Census Tract 207302","35","Census Tract 431700","2/3/2019 - 31/5/2019, Every day, Daily Average",1908,1400,2598
"1229","Census Tract 207302","36","Census Tract 431800","2/3/2019 - 31/5/2019, Every day, Daily Average",1917,1374,2674
"1229","Census Tract 207302","39","Census Tract 554801","2/3/2019 - 31/5/2019, Every day, Daily Average",2350,1630,3387
"1229","Census Tract 207302","46","Census Tract 404000","2/3/2019 - 31/5/2019, Every day, Daily Average",2403,1682,3432
"1229","Census Tract 207302","47","Census Tract 404100","2/3/2019 - 31/5/2019, Every day, Daily Average",2358,1649,3371
"1229","Census Tract 207302","51","Census Tract 404302","2/3/2019 - 31/5/2019, Every day, Daily Average",2289,1597,3280
"1229","Census Tract 207302","52","Census Tract 404401","2/3/2019 - 31/5/2019, Every day, Daily Average",2082,1485,2917
"1229","Census Tract 207302","53","Census Tract 404402","2/3/2019 - 31/5/2019, Every day, Daily Average",2132,1501,3027
"1229","Census Tract 207302","58","Census Tract 404701","2/3/2019 - 31/5/2019, Every day, Daily Average",1470,1028,2100
"1229","Census Tract 207302","59","Census Tract 404702","2/3/2019 - 31/5/2019, Every day, Daily Average",1520,1059,2180
"1229","Census Tract 207302","60","Census Tract 404703","2/3/2019 - 31/5/2019, Every day, Daily Average",1483,1043,2106
"1229","Census Tract 207302","61","Census Tract 404801","2/3/2019 - 31/5/2019, Every day, Daily Average",1970,1374,2823
"1229","Census Tract 207302","62","Census Tract 404802","2/3/2019 - 31/5/2019, Every day, Daily Average",1651,1139,2391
"1229","Census Tract 207302","63","Census Tract 404803","2/3/2019 - 31/5/2019, Every day, Daily Average",1570,1104,2231
"1229","Census Tract 207302","64","Census Tract 404901","2/3/2019 - 31/5/2019, Every day, Daily Average",1881,1399,2527
"1229","Census Tract 207302","65","Census Tract 404902","2/3/2019 - 31/5/2019, Every day, Daily Average",2127,1579,2864
"1229","Census Tract 207302","66","Census Tract 404903","2/3/2019 - 31/5/2019, Every day, Daily Average",2107,1540,2881
"1229","Census Tract 207302","67","Census Tract 405001","2/3/2019 - 31/5/2019, Every day, Daily Average",2125,1477,3056
"1229","Census Tract 207302","73","Census Tract 405203","2/3/2019 - 31/5/2019, Every day, Daily Average",1822,1292,2567
"1229","Census Tract 207302","75","Census Tract 407001","2/3/2019 - 31/5/2019, Every day, Daily Average",1617,1185,2205
"1229","Census Tract 207302","76","Census Tract 407002","2/3/2019 - 31/5/2019, Every day, Daily Average",1627,1186,2230
"1229","Census Tract 207302","77","Census Tract 532304","2/3/2019 - 31/5/2019, Every day, Daily Average",1162,735,1835
"1229","Census Tract 207302","78","Census Tract 533601","2/3/2019 - 31/5/2019, Every day, Daily Average",1530,1085,2156
"1229","Census Tract 207302","79","Census Tract 533602","2/3/2019 - 31/5/2019, Every day, Daily Average",1552,1127,2136
"1229","Census Tract 207302","80","Census Tract 533603","2/3/2019 - 31/5/2019, Every day, Daily Average",1561,1128,2159
"1229","Census Tract 207302","81","Census Tract 533703","2/3/2019 - 31/5/2019, Every day, Daily Average",1162,745,1812
"1229","Census Tract 207302","82","Census Tract 533803","2/3/2019 - 31/5/2019, Every day, Daily Average",1413,1007,1982
"1229","Census Tract 207302","83","Census Tract 533804","2/3/2019 - 31/5/2019, Every day, Daily Average",1385,982,1952
"1229","Census Tract 207302","84","Census Tract 533805","2/3/2019 - 31/5/2019, Every day, Daily Average",1304,903,1883
"1229","Census Tract 207302","85","Census Tract 533806","2/3/2019 - 31/5/2019, Every day, Daily Average",1243,800,1929
"1229","Census Tract 207302","86","Census Tract 553100","2/3/2019 - 31/5/2019, Every day, Daily Average",1787,1296,2463
"1229","Census Tract 207302","87","Census Tract 553200","2/3/2019 - 31/5/2019, Every day, Daily Average",1779,1263,2505
"1229","Census Tract 207302","98","Census Tract 554301","2/3/2019 - 31/5/2019, Every day, Daily Average",2285,1592,3277
"1229","Census Tract 207302","99","Census Tract 554302","2/3/2019 - 31/5/2019, Every day, Daily Average",2155,1467,3164
"1229","Census Tract 207302","100","Census Tract 554403","2/3/2019 - 31/5/2019, Every day, Daily Average",2236,1547,3230
"1229","Census Tract 207302","101","Census Tract 554404","2/3/2019 - 31/5/2019, Every day, Daily Average",2281,1563,3328
"1229","Census Tract 207302","102","Census Tract 554405","2/3/2019 - 31/5/2019, Every day, Daily Average",2239,1536,3263
"1229","Census Tract 207302","103","Census Tract 554406","2/3/2019 - 31/5/2019, Every day, Daily Average",2228,1518,3268
"1229","Census Tract 207302","104","Census Tract 533901","2/3/2019 - 31/5/2019, Every day, Daily Average",1591,1095,2310
"1229","Census Tract 207302","105","Census Tract 533902","2/3/2019 - 31/5/2019, Every day, Daily Average",1689,1122,2541
"1229","Census Tract 207302","106","Census Tract 534001","2/3/2019 - 31/5/2019, Every day, Daily Average",1819,1215,2723
"1229","Census Tract 207302","107","Census Tract 534002","2/3/2019 - 31/5/2019, Every day, Daily Average",1834,1225,2744
"1229","Census Tract 207302","108","Census Tract 534101","2/3/2019 - 31/5/2019, Every day, Daily Average",1521,983,2352
"1229","Census Tract 207302","109","Census Tract 534102","2/3/2019 - 31/5/2019, Every day, Daily Average",1563,1037,2353
"1229","Census Tract 207302","110","Census Tract 534201","2/3/2019 - 31/5/2019, Every day, Daily Average",1836,1172,2875
"1229","Census Tract 207302","111","Census Tract 534202","2/3/2019 - 31/5/2019, Every day, Daily Average",1787,1183,2697
"1229","Census Tract 207302","112","Census Tract 534203","2/3/2019 - 31/5/2019, Every day, Daily Average",1865,1244,2794
"1229","Census Tract 207302","113","Census Tract 700600","2/3/2019 - 31/5/2019, Every day, Daily Average",2245,1653,3048
